type,rating,release_year,show_id
Movie,66 min,2000,0
TV Show,66 min,2000,0
Movie,66 min,2001,0
TV Show,66 min,2001,0
Movie,66 min,2002,0
TV Show,66 min,2002,0
Movie,66 min,2003,0
TV Show,66 min,2003,0
Movie,66 min,2004,0
TV Show,66 min,2004,0
Movie,66 min,2005,0
TV Show,66 min,2005,0
Movie,66 min,2006,0
TV Show,66 min,2006,0
Movie,66 min,2007,0
TV Show,66 min,2007,0
Movie,66 min,2008,0
TV Show,66 min,2008,0
Movie,66 min,2009,0
TV Show,66 min,2009,0
Movie,66 min,2010,0
TV Show,66 min,2010,0
Movie,66 min,2011,0
TV Show,66 min,2011,0
Movie,66 min,2012,0
TV Show,66 min,2012,0
Movie,66 min,2013,0
TV Show,66 min,2013,0
Movie,66 min,2014,0
TV Show,66 min,2014,0
Movie,66 min,2015,1
TV Show,66 min,2015,0
Movie,66 min,2016,0
TV Show,66 min,2016,0
Movie,66 min,2017,0
TV Show,66 min,2017,0
Movie,66 min,2018,0
TV Show,66 min,2018,0
Movie,66 min,2019,0
TV Show,66 min,2019,0
Movie,66 min,2020,0
TV Show,66 min,2020,0
Movie,66 min,2021,0
TV Show,66 min,2021,0
Movie,74 min,2000,0
TV Show,74 min,2000,0
Movie,74 min,2001,0
TV Show,74 min,2001,0
Movie,74 min,2002,0
TV Show,74 min,2002,0
Movie,74 min,2003,0
TV Show,74 min,2003,0
Movie,74 min,2004,0
TV Show,74 min,2004,0
Movie,74 min,2005,0
TV Show,74 min,2005,0
Movie,74 min,2006,0
TV Show,74 min,2006,0
Movie,74 min,2007,0
TV Show,74 min,2007,0
Movie,74 min,2008,0
TV Show,74 min,2008,0
Movie,74 min,2009,0
TV Show,74 min,2009,0
Movie,74 min,2010,0
TV Show,74 min,2010,0
Movie,74 min,2011,0
TV Show,74 min,2011,0
Movie,74 min,2012,0
TV Show,74 min,2012,0
Movie,74 min,2013,0
TV Show,74 min,2013,0
Movie,74 min,2014,0
TV Show,74 min,2014,0
Movie,74 min,2015,0
TV Show,74 min,2015,0
Movie,74 min,2016,0
TV Show,74 min,2016,0
Movie,74 min,2017,1
TV Show,74 min,2017,0
Movie,74 min,2018,0
TV Show,74 min,2018,0
Movie,74 min,2019,0
TV Show,74 min,2019,0
Movie,74 min,2020,0
TV Show,74 min,2020,0
Movie,74 min,2021,0
TV Show,74 min,2021,0
Movie,84 min,2000,0
TV Show,84 min,2000,0
Movie,84 min,2001,0
TV Show,84 min,2001,0
Movie,84 min,2002,0
TV Show,84 min,2002,0
Movie,84 min,2003,0
TV Show,84 min,2003,0
Movie,84 min,2004,0
TV Show,84 min,2004,0
Movie,84 min,2005,0
TV Show,84 min,2005,0
Movie,84 min,2006,0
TV Show,84 min,2006,0
Movie,84 min,2007,0
TV Show,84 min,2007,0
Movie,84 min,2008,0
TV Show,84 min,2008,0
Movie,84 min,2009,0
TV Show,84 min,2009,0
Movie,84 min,2010,1
TV Show,84 min,2010,0
Movie,84 min,2011,0
TV Show,84 min,2011,0
Movie,84 min,2012,0
TV Show,84 min,2012,0
Movie,84 min,2013,0
TV Show,84 min,2013,0
Movie,84 min,2014,0
TV Show,84 min,2014,0
Movie,84 min,2015,0
TV Show,84 min,2015,0
Movie,84 min,2016,0
TV Show,84 min,2016,0
Movie,84 min,2017,0
TV Show,84 min,2017,0
Movie,84 min,2018,0
TV Show,84 min,2018,0
Movie,84 min,2019,0
TV Show,84 min,2019,0
Movie,84 min,2020,0
TV Show,84 min,2020,0
Movie,84 min,2021,0
TV Show,84 min,2021,0
Movie,G,2000,2
TV Show,G,2000,0
Movie,G,2001,2
TV Show,G,2001,0
Movie,G,2002,0
TV Show,G,2002,0
Movie,G,2003,0
TV Show,G,2003,0
Movie,G,2004,3
TV Show,G,2004,0
Movie,G,2005,2
TV Show,G,2005,0
Movie,G,2006,0
